Tittle,Year Release,MPAA Rating,Duration(minutes),IMDB Score,Metascore,Genre 1,Genre 2,Genre 3,Gross($M)
Bloodsport,1988,NA,92,6.8,29,Action,Biography,Drama,11.81

Alvin and the Chipmunks,2007,PG,92,5.2,39,Animation,Adventure,Comedy,217.33

The Longest Ride,2015,PG-13,123,7.1,33,Drama,Romance,NA,37.45

Going in Style,2017,PG-13,96,6.6,50,Comedy,Crime,NA,45.00

The Hundred-Foot Journey,2014,PG,122,7.3,55,Comedy,Drama,NA,54.24

The Ritual,I 2017,NA,94,6.3,57,Horror,Mystery,Thriller,NA

The Day the Earth Stood Still,1951,NA,92,7.7,NA,Drama,Sci-Fi,NA,NA

The Uninvited,2009,PG-13,87,6.3,43,Drama,Horror,Mystery,28.57

Star Trek: Generations,1994,PG,118,6.6,55,Action,Adventure,Mystery,75.67

Trumbo,2015,R,124,7.5,60,Biography,Crime,Drama,7.86

Fatal Attraction,1987,NA,119,6.9,67,Drama,Thriller,NA,156.65

Under Siege,1992,R,103,6.5,58,Action,Thriller,NA,83.36

Broken City,2013,R,109,6.2,49,Action,Crime,Drama,19.70

Tommy Boy,1995,PG-13,97,7.1,46,Adventure,Comedy,NA,32.70

Battlefield Earth,2000,PG-13,118,2.5,9,Action,Adventure,Sci-Fi,21.47

The Wedding Planner,2001,PG-13,103,5.3,33,Comedy,Romance,NA,60.40

All Is Lost,2013,PG-13,106,6.9,87,Action,Adventure,Drama,6.26

Entourage,2015,R,104,6.6,38,Comedy,Drama,NA,32.36

The Mothman Prophecies,2002,PG-13,119,6.4,52,Drama,Horror,Mystery,35.75

Conan the Destroyer,1984,NA,103,5.9,53,Action,Adventure,Fantasy,31.04

Project Almanac,2015,PG-13,106,6.4,47,Drama,Mystery,Sci-Fi,22.35

Pink Floyd: The Wall,1982,NA,95,8.1,47,Drama,Fantasy,Music,22.24

Mechanic: Resurrection,2016,R,98,5.7,38,Action,Adventure,Crime,21.22

I Spit on Your Grave,2010,21+,108,6.3,27,Horror,Thriller,NA,0.09

Mary Poppins Returns,2018,SU,130,6.7,66,Comedy,Family,Fantasy,171.96

Beverly Hills Cop III,1994,R,104,5.6,16,Action,Comedy,Crime,42.61

The Dukes of Hazzard,2005,PG-13,104,5.1,33,Comedy,NA,NA,80.27

Snake Eyes,1998,R,98,6.0,52,Crime,Mystery,Thriller,55.59

Death Note,I 2017,NA,101,4.5,43,Action,Crime,Drama,NA

Beastly,2011,PG-13,86,5.6,40,Drama,Fantasy,Romance,27.87

Get Shorty,1995,R,105,6.9,82,Comedy,Crime,Thriller,72.08

The Flintstones,1994,PG,91,4.9,38,Comedy,Family,Fantasy,130.51

Midnight Special,2016,13+,112,6.6,76,Drama,Mystery,Sci-Fi,3.71

Barfi!,2012,NA,151,8.1,NA,Comedy,Drama,Romance,2.80

Fruitvale Station,2013,R,85,7.5,85,Biography,Crime,Drama,16.10

Midnight Run,1988,NA,126,7.5,78,Action,Comedy,Crime,38.41

The Karate Kid Part II,1986,NA,113,6.1,55,Action,Family,Sport,115.10

Stir of Echoes,1999,R,99,7.0,67,Horror,Mystery,Thriller,21.13

Swingers,1996,R,96,7.2,71,Comedy,Drama,NA,4.51

The Outsiders,1983,PG,91,7.1,41,Crime,Drama,NA,25.60

Halloween II,1981,NA,92,6.5,40,Horror,NA,NA,25.53

Felon,2008,R,104,7.4,58,Action,Crime,Drama,0.04

The Hustler,1961,NA,134,8.0,90,Drama,Sport,NA,8.28

Super,I 2010,R,96,6.7,50,Action,Comedy,Drama,0.32

Delivery Man,2013,PG-13,105,6.4,44,Comedy,Drama,NA,30.66

Frank,II 2014,R,95,7.0,75,Comedy,Drama,Music,0.64

Fallen,1998,R,124,7.0,NA,Action,Crime,Drama,25.19

Blue Streak,1999,PG-13,93,6.3,46,Action,Comedy,Crime,68.52

White Men Can't Jump,1992,R,115,6.8,65,Comedy,Drama,Sport,76.25

The Invasion,I 2007,PG-13,99,5.9,45,Family,Sci-Fi,Thriller,15.07

Stay,I 2005,R,99,6.8,41,Drama,Mystery,Thriller,3.63

Speed 2: Cruise Control,1997,PG-13,121,3.9,23,Action,Adventure,Crime,48.61

Confessions of a Shopaholic,2009,PG,104,5.9,38,Comedy,Romance,NA,44.28

Star Trek III: The Search for Spock,1984,NA,105,6.7,56,Action,Adventure,Sci-Fi,76.47

Machete Kills,2013,R,107,5.6,41,Action,Crime,Thriller,8.01

Notes on a Scandal,2006,R,92,7.4,73,Crime,Drama,Romance,17.51

The Words,2012,PG-13,102,7.0,37,Drama,Mystery,Romance,11.49

Cars 3,2017,SU,102,6.7,59,Animation,Adventure,Comedy,152.90

Phenomenon,1996,PG,123,6.4,41,Drama,Fantasy,Romance,104.64

Baahubali 2: The Conclusion,2017,17+,167,8.2,NA,Action,Drama,NA,20.19

The Color of Money,1986,NA,119,7.0,77,Drama,Sport,NA,52.29

Slither,2006,R,95,6.5,69,Comedy,Horror,Sci-Fi,7.77

Double Jeopardy,1999,R,105,6.5,40,Crime,Drama,Mystery,116.74

I Am Mother,2019,13+,113,6.7,64,Drama,Mystery,Sci-Fi,NA

Pretty in Pink,1986,NA,97,6.8,56,Comedy,Drama,Romance,40.47

88 Minutes,2007,R,108,5.9,17,Crime,Drama,Mystery,16.93

Siu Lam juk kau,2001,PG,113,7.3,68,Action,Comedy,Family,0.49

Species,1995,R,108,5.8,49,Action,Horror,Sci-Fi,60.07

The Bad Lieutenant: Port of Call - New Orleans,2009,R,122,6.6,69,Crime,Drama,NA,1.70

Failure to Launch,2006,PG-13,97,5.6,47,Comedy,Romance,NA,88.72

Cabin Fever,2002,R,93,5.7,56,Drama,Horror,NA,21.16

Polar,I 2019,NA,118,6.3,19,Action,Crime,Drama,NA

Sex and the City 2,2010,R,146,4.5,27,Comedy,Drama,Romance,95.35

The Princess Diaries 2: Royal Engagement,2004,NA,113,5.8,43,Comedy,Family,Romance,95.17

All the Money in the World,2017,17+,132,6.8,72,Biography,Crime,Drama,25.11

Morning Glory,2010,PG-13,107,6.5,57,Comedy,Drama,Romance,31.01

Star Trek: Nemesis,2002,PG-13,116,6.4,51,Action,Adventure,Sci-Fi,43.25

The Fourth Kind,2009,PG-13,98,5.9,34,Horror,Mystery,Sci-Fi,25.46

A Wednesday,2008,NA,104,8.1,NA,Action,Crime,Drama,NA

Rock of Ages,2012,PG-13,123,5.9,47,Comedy,Drama,Musical,38.52

Chak De! India,2007,NA,153,8.2,68,Drama,Family,Sport,1.11

A Perfect World,1993,PG-13,138,7.6,71,Crime,Drama,Thriller,31.16

Fool's Gold,I 2008,PG-13,112,5.7,29,Action,Adventure,Comedy,70.23

Frances Ha,2012,R,86,7.5,82,Comedy,Drama,Romance,4.06

Munna Bhai M.B.B.S.,2003,NA,156,8.1,NA,Comedy,Drama,Musical,NA

Into the Blue,2005,PG-13,110,5.9,45,Action,Adventure,Crime,18.47

Midnight Express,1978,NA,121,7.6,59,Biography,Crime,Drama,35.00

Red Dawn,2012,PG-13,93,5.4,31,Action,Drama,NA,44.81

Assault on Precinct 13,2005,R,109,6.3,54,Action,Crime,Drama,19.98

Space Cowboys,2000,PG-13,130,6.4,73,Action,Adventure,Thriller,90.46

Shaft,2000,R,99,5.9,50,Action,Crime,Thriller,70.33

Inkheart,2008,PG,106,6.1,49,Adventure,Family,Fantasy,17.30

Beasts of No Nation,2015,NA,137,7.7,79,Drama,War,NA,0.08

Cach�,2005,R,117,7.3,83,Drama,Mystery,Thriller,3.63

Doomsday,2008,R,113,6.0,51,Action,Sci-Fi,Thriller,10.96

This Is Where I Leave You,2014,R,103,6.6,44,Comedy,Drama,NA,34.29

Disconnect,I 2012,R,115,7.5,64,Drama,Thriller,NA,7.44

The Human Centipede (First Sequence),2009,21+,92,4.4,33,Horror,NA,NA,0.18

G.I. Jane,1997,R,125,6.0,62,Action,Drama,War,48.17

The Highwaymen,2019,R,132,6.9,58,Biography,Crime,Drama,NA

Huo Yuan Jia,2006,PG-13,104,7.6,70,Action,Biography,Drama,24.63

Kids,1995,NA,91,7.1,63,Drama,NA,NA,7.42

The Long Kiss Goodnight,1996,R,121,6.8,44,Action,Crime,Drama,33.33

Killer Joe,2011,R,102,6.7,62,Crime,Drama,Thriller,1.99

� bout de souffle,1960,NA,90,7.8,NA,Crime,Drama,NA,0.34

Jackie,V 2016,R,100,6.7,81,Biography,Drama,History,13.96

The Bridges of Madison County,1995,PG-13,135,7.6,66,Drama,Romance,NA,71.52

Six Days Seven Nights,1998,PG-13,102,5.8,51,Action,Adventure,Comedy,74.33

Reis,2017,NA,108,1.4,NA,Biography,Drama,NA,NA

Zwartboek,2006,R,145,7.7,71,Drama,Thriller,War,4.40

Premonition,I 2007,PG-13,96,5.9,29,Drama,Fantasy,Mystery,47.85

Kaze tachinu,2013,PG-13,126,7.8,83,Animation,Biography,Drama,5.21

Awake,2007,R,84,6.5,33,Crime,Drama,Mystery,14.38

Practical Magic,1998,PG-13,104,6.3,46,Comedy,Drama,Fantasy,46.68

�dishon,1999,R,115,7.2,69,Drama,Horror,Mystery,NA

Youth in Revolt,2009,R,90,6.4,63,Comedy,Drama,Romance,15.28

What's Your Number?,2011,R,106,6.1,35,Comedy,Romance,NA,14.01

House at the End of the Street,2012,PG-13,101,5.6,31,Drama,Horror,Thriller,31.61

Out of Africa,1985,NA,161,7.2,69,Biography,Drama,Romance,87.10

A Most Wanted Man,2014,R,122,6.8,73,Crime,Drama,Thriller,17.24

Wanderlust,2012,R,98,5.6,53,Comedy,Romance,NA,17.23

Girl with a Pearl Earring,2003,PG-13,100,6.9,72,Biography,Drama,Romance,11.63

Christine,1983,NA,110,6.7,57,Horror,Thriller,NA,21.20

21 & Over,2013,R,93,5.8,34,Comedy,NA,NA,25.68

Volcano,1997,PG-13,104,5.5,55,Action,Drama,Sci-Fi,49.32

The Babysitter,I 2017,NA,85,6.3,NA,Comedy,Horror,NA,NA

Collateral Damage,2002,R,108,5.5,33,Action,Drama,Thriller,40.08

Outlander,2008,R,115,6.2,40,Action,Adventure,Sci-Fi,0.16

Hitchcock,2012,PG-13,98,6.8,55,Biography,Drama,Romance,6.01

My Girl,1991,PG,102,6.9,56,Comedy,Drama,Family,59.85

Before I Go to Sleep,2014,R,92,6.3,41,Drama,Mystery,Thriller,2.96

Four Lions,2010,R,97,7.3,68,Comedy,Crime,Drama,0.30

Trolls,2016,SU,92,6.5,55,Animation,Adventure,Comedy,153.71

The Haunting,1999,PG-13,113,5.0,42,Fantasy,Horror,Mystery,91.41

Chinjeolhan geumjassi,2005,R,115,7.6,75,Crime,Drama,Thriller,0.21

Bajrangi Bhaijaan,2015,NA,163,8.0,NA,Action,Adventure,Comedy,8.18

Youth,I 2015,R,124,7.3,64,Comedy,Drama,Music,2.70

George of the Jungle,1997,PG,92,5.5,53,Action,Adventure,Comedy,105.26

The Black Dahlia,2006,D,121,5.6,49,Crime,Drama,Mystery,22.52

The Water Diviner,2014,R,111,7.0,50,Drama,History,War,4.19

Saturday Night Fever,1977,R,118,6.8,77,Drama,Music,NA,94.21

The Last Castle,2001,R,131,7.0,43,Action,Drama,Thriller,18.21

The African Queen,1951,PG,105,7.7,91,Adventure,Drama,Romance,0.54

Backdraft,1991,R,137,6.7,38,Action,Crime,Drama,77.87

The Manchurian Candidate,1962,PG-13,126,7.9,94,Drama,Thriller,NA,NA

Shot Caller,2017,R,121,7.3,59,Crime,Drama,Thriller,NA

Ong-bak,2003,R,108,7.2,69,Action,Crime,Thriller,4.56

Seventh Son,I 2014,D,102,5.5,30,Action,Adventure,Fantasy,17.22

Blockers,2018,R,102,6.2,69,Comedy,NA,NA,60.31

Whatever Works,2009,PG-13,93,7.1,45,Comedy,Romance,NA,5.31

The Wedding Ringer,2015,R,101,6.6,35,Comedy,NA,NA,64.46

Dark Skies,2013,PG-13,97,6.3,50,Adventure,Family,Fantasy,17.41

Amistad,1997,R,155,7.3,63,Biography,Drama,History,44.18

Un long dimanche de fian�ailles,2004,R,133,7.6,76,Drama,Mystery,Romance,6.17

Deliver Us from Evil,I 2014,D,118,6.2,40,Crime,Fantasy,Horror,30.58

The Incredible Burt Wonderstone,2013,PG-13,100,5.9,44,Comedy,NA,NA,22.53

Derailed,I 2005,R,108,6.6,40,Crime,Drama,Thriller,36.02

Deuce Bigalow: Male Gigolo,1999,R,88,5.7,30,Comedy,Romance,NA,65.54

A Nightmare on Elm Street 3: Dream Warriors,1987,NA,96,6.6,49,Fantasy,Horror,NA,44.79

Caf� Society,2016,PG-13,96,6.6,64,Comedy,Drama,Romance,11.10

No Reservations,2007,PG,104,6.3,50,Comedy,Drama,Romance,43.11

Walking Tall,2004,PG-13,86,6.3,44,Action,Crime,NA,45.86

Harold and Maude,1971,NA,91,7.9,62,Comedy,Drama,Romance,NA

Jaws 2,1978,NA,116,5.8,51,Adventure,Horror,Thriller,102.92

The F Word,I 2013,PG-13,98,6.8,59,Comedy,Romance,NA,3.45

"Paris, je t'aime",2006,R,120,7.2,66,Comedy,Drama,Romance,4.86

40 Days and 40 Nights,2002,R,96,5.6,53,Comedy,Romance,NA,37.95

Enter the Void,2009,NA,161,7.3,69,Drama,Fantasy,NA,0.34

Papurika,2006,R,90,7.7,81,Animation,Drama,Fantasy,0.88

Star Trek: Insurrection,1998,PG,103,6.4,64,Action,Adventure,Sci-Fi,70.12

Candyman,1992,R,99,6.6,61,Horror,Thriller,NA,25.79

The Ruins,2008,R,90,5.9,44,Adventure,Fantasy,Horror,17.43

Mission to Mars,2000,PG,114,5.7,34,Adventure,Sci-Fi,Thriller,60.88

Quarantine,2008,R,89,5.9,53,Horror,Thriller,NA,31.69

Blindness,2008,R,121,6.6,45,Drama,Mystery,Sci-Fi,3.07

The Iceman,2012,R,106,6.8,60,Biography,Crime,Drama,1.94

Star Trek VI: The Undiscovered Country,1991,PG,110,7.2,65,Action,Adventure,Sci-Fi,74.89

Dragonball Evolution,2009,PG,85,2.5,45,Action,Adventure,Fantasy,9.35

Footloose,1984,NA,107,6.6,42,Drama,Music,Romance,80.04

Hostiles,2017,17+,134,7.2,65,Drama,Western,NA,29.82

Ghost Town,I 2008,PG-13,102,6.7,72,Comedy,Drama,Fantasy,13.21

What to Expect When You're Expecting,2012,PG-13,110,5.7,41,Comedy,Drama,Romance,41.15

The Wicker Man,1973,NA,88,7.5,87,Horror,Mystery,Thriller,0.06

American Assassin,2017,17+,111,6.2,45,Action,Thriller,NA,36.25

Andhadhun,2018,17+,139,8.3,NA,Crime,Drama,Music,1.37

Sunshine Cleaning,2008,R,91,6.8,61,Comedy,Drama,NA,12.06

Escape from L.A.,1996,R,101,5.8,54,Action,Adventure,Sci-Fi,25.48

Bottle Rocket,1996,R,91,7.0,66,Comedy,Crime,Drama,0.56

Eurovision Song Contest: The Story of Fire Saga,2020,PG-13,123,6.5,50,Comedy,Music,NA,NA

Freedom Writers,2007,PG-13,123,7.5,64,Biography,Crime,Drama,36.61

Underworld: Blood Wars,2016,D,91,5.8,23,Action,Adventure,Fantasy,30.35

Doctor Zhivago,1965,PG-13,197,8.0,69,Drama,Romance,War,111.72

Chloe,2009,R,96,6.3,48,Drama,Mystery,Romance,3.07

Miss Congeniality 2: Armed & Fabulous,2005,PG-13,115,5.1,34,Action,Comedy,Crime,48.48

Lost in Space,1998,PG-13,130,5.2,42,Action,Adventure,Family,69.12

Upside Down,I 2012,PG-13,109,6.4,45,Drama,Fantasy,Romance,0.10

Paterson,2016,R,118,7.4,90,Comedy,Drama,Romance,2.14

EverAfter,1998,PG-13,121,7.0,66,Comedy,Drama,Romance,65.71

Bewitched,2005,PG-13,102,4.8,34,Comedy,Fantasy,Romance,62.25

Solomon Kane,2009,R,104,6.1,48,Action,Adventure,Fantasy,NA

Judgment at Nuremberg,1961,NA,179,8.2,60,Drama,War,NA,NA

Death Sentence,2007,R,105,6.8,36,Action,Crime,Drama,9.53

Splash,1984,NA,111,6.3,71,Comedy,Fantasy,Romance,62.10

Speed Racer,2008,PG,135,6.0,37,Action,Adventure,Comedy,43.95

Drishyam,2015,NA,163,8.2,NA,Crime,Drama,Mystery,0.74

In the Valley of Elah,2007,R,121,7.1,65,Crime,Drama,Mystery,6.78

48 Hrs.,1982,NA,96,6.9,71,Action,Comedy,Crime,78.87

Who's Afraid of Virginia Woolf?,1966,NA,131,8.0,75,Drama,NA,NA,NA

Trolljegeren,2010,PG-13,103,7.0,61,Drama,Fantasy,Horror,0.25

The Postman,1997,R,177,6.1,29,Action,Adventure,Drama,17.63

Oldboy,2013,21+,104,5.7,49,Action,Drama,Mystery,2.19

[Rec]�,2009,R,85,6.5,52,Action,Adventure,Fantasy,0.03

I Still Know What You Did Last Summer,1998,R,100,4.7,21,Horror,Mystery,NA,40.00

Free Willy,1993,PG,112,6.0,79,Adventure,Drama,Family,77.70

Dreamgirls,2006,PG-13,130,6.5,76,Drama,Music,Musical,103.37

Surf's Up,2007,PG,85,6.7,64,Animation,Comedy,Family,58.87

Mercury Rising,1998,R,111,6.2,37,Action,Crime,Drama,32.94

Bill & Ted's Bogus Journey,1991,NA,93,6.3,60,Adventure,Comedy,Fantasy,38.04

Father of the Bride,1991,NA,105,6.5,51,Comedy,Family,Romance,89.33

Das wei�e Band - Eine deutsche Kindergeschichte,2009,R,144,7.8,82,Drama,History,Mystery,2.22

Unfriended,2014,D,83,5.5,59,Horror,Mystery,Thriller,32.48

The Man Who Shot Liberty Valance,1962,NA,123,8.1,94,Drama,Western,NA,NA

Norbit,2007,PG-13,103,4.1,27,Comedy,Romance,NA,95.67

The Siege,1998,R,116,6.4,53,Action,Thriller,NA,40.98

Ninja Assassin,2009,R,99,6.3,34,Action,Thriller,NA,38.11

The Sitter,2011,R,81,5.7,39,Comedy,NA,NA,30.54

Office Christmas Party,2016,R,105,5.8,42,Comedy,NA,NA,54.77

The Infiltrator,2016,R,127,7.0,66,Biography,Crime,Drama,15.43

The 'Burbs,1989,NA,102,6.9,45,Comedy,Mystery,Thriller,36.60

First Knight,1995,PG-13,134,6.0,57,Action,Adventure,Drama,37.60

Christopher Robin,2018,SU,104,7.3,60,Adventure,Comedy,Drama,99.22

God Bless America,2011,R,105,7.2,56,Comedy,Crime,Drama,0.12

Jigsaw,I 2017,21+,92,5.8,39,Horror,Mystery,Thriller,38.05

Charade,1963,NA,113,7.9,83,Comedy,Mystery,Romance,13.47

Luftslottet som spr�ngdes,2009,R,147,7.3,60,Action,Crime,Drama,5.19

Bridget Jones's Baby,2016,R,123,6.5,59,Comedy,Drama,Romance,24.25

How to Lose Friends & Alienate People,2008,R,110,6.4,35,Biography,Comedy,Drama,2.78

The Spy Who Dumped Me,2018,17+,117,6.0,52,Action,Adventure,Comedy,33.56

Three Amigos!,1986,NA,104,6.5,52,Comedy,Western,NA,39.25

La science des r�ves,2006,R,105,7.3,70,Comedy,Drama,Fantasy,4.66

The Texas Chainsaw Massacre: The Beginning,2006,R,91,5.8,30,Horror,Thriller,NA,39.52

The Trial of the Chicago 7,2020,R,129,7.9,77,Drama,History,Thriller,NA

Wolf Creek,2005,R,99,6.2,54,Crime,Horror,Thriller,16.19

Made of Honor,2008,PG-13,101,5.9,37,Comedy,Romance,NA,46.01

Ikiru,1952,NA,143,8.3,NA,Drama,NA,NA,0.06

Just Married,2003,PG-13,95,5.5,28,Comedy,Romance,NA,56.13

My Left Foot: The Story of Christy Brown,1989,NA,103,7.9,97,Biography,Drama,NA,14.74

The Edge,1997,R,117,6.9,NA,Action,Adventure,Drama,27.78

Haute tension,2003,R,91,6.8,42,Horror,NA,NA,3.68

Nanny McPhee,2005,PG,97,6.5,59,Comedy,Family,Fantasy,47.14

A Perfect Getaway,2009,R,98,6.5,63,Drama,Mystery,Thriller,15.48

In the Heat of the Night,1967,NA,110,7.9,75,Crime,Drama,Mystery,24.38

MASH,1970,R,116,7.4,80,Comedy,Drama,War,81.60

The Station Agent,2003,R,89,7.6,81,Comedy,Drama,NA,5.74

Frozen,I 2010,R,93,6.1,43,Adventure,Drama,Thriller,0.24

Elizabethtown,2005,PG-13,123,6.4,45,Comedy,Drama,Romance,26.84

Walk Hard: The Dewey Cox Story,2007,R,96,6.8,63,Comedy,Drama,Music,18.32

Cobra,1986,NA,87,5.8,25,Action,Crime,Thriller,49.04

Elizabeth: The Golden Age,2007,PG-13,114,6.8,45,Biography,Drama,History,16.29

Europa Report,2013,PG-13,97,6.4,68,Drama,Mystery,Sci-Fi,0.13

Jeux d'enfants,2003,R,93,7.6,45,Comedy,Drama,Romance,0.55

A Lot Like Love,2005,PG-13,107,6.6,48,Comedy,Drama,Romance,21.84

Zindagi Na Milegi Dobara,2011,NA,155,8.1,NA,Comedy,Drama,NA,3.11

xXx: State of the Union,2005,PG-13,101,4.5,37,Action,Adventure,Crime,26.87

Be Cool,2005,PG-13,118,5.7,37,Comedy,Crime,Music,56.05

Nikita,1990,NA,117,7.3,56,Action,Thriller,NA,5.02

Mortdecai,2015,R,107,5.5,27,Action,Adventure,Comedy,7.61

Strange Days,1995,R,145,7.2,66,Action,Crime,Drama,7.92

The Dirty Dozen,1967,NA,150,7.7,73,Action,Adventure,War,45.30

Hannah and Her Sisters,1986,NA,107,7.9,90,Comedy,Drama,NA,40.08

Go,1999,R,102,7.2,72,Comedy,Crime,NA,16.84

12 Strong,2018,17+,130,6.6,54,Action,Drama,History,45.50

Changing Lanes,2002,R,98,6.5,69,Drama,Thriller,NA,66.82

The Thirteenth Floor,1999,R,100,7.1,36,Mystery,Sci-Fi,Thriller,15.50

Seabiscuit,2003,PG-13,140,7.3,72,Drama,History,Sport,120.28

Romeo Must Die,2000,R,115,6.1,52,Action,Crime,Thriller,55.97

The Mountain Between Us,2017,PG-13,112,6.4,48,Action,Adventure,Drama,30.35

Mile 22,2018,17+,94,6.1,38,Action,Thriller,NA,36.11

Fried Green Tomatoes,1991,NA,130,7.7,64,Drama,NA,NA,82.42

Daylight,1996,PG-13,114,5.9,NA,Action,Adventure,Drama,33.02

Banlieue 13,2004,R,84,7.2,70,Action,Crime,Sci-Fi,1.20

Blue Ruin,2013,R,90,7.1,78,Crime,Drama,Thriller,0.26

Dil Chahta Hai,2001,NA,183,8.1,NA,Comedy,Drama,Romance,0.30

Open Range,2003,R,139,7.4,67,Action,Drama,Romance,58.33

Act of Valor,2012,R,110,6.5,40,Action,Adventure,Thriller,70.01

Halloween H20: 20 Years Later,1998,R,86,5.8,52,Horror,Thriller,NA,55.04

A Most Violent Year,2014,R,125,7.0,79,Action,Crime,Drama,5.74

The First Time,I 2012,PG-13,95,6.8,55,Comedy,Drama,Romance,0.02

Happiness,1998,NA,134,7.7,81,Comedy,Drama,NA,2.81

Bowfinger,1999,PG-13,97,6.4,71,Comedy,NA,NA,66.38

Johnny Mnemonic,1995,R,103,5.7,33,Action,Drama,Sci-Fi,19.08

Peter Pan,2003,PG,113,6.8,64,Adventure,Family,Fantasy,48.46

Nineteen Eighty-Four,1984,NA,113,7.1,67,Drama,Sci-Fi,NA,8.40

La Dolce Vita,1960,NA,174,8.0,95,Comedy,Drama,NA,19.52

Spenser Confidential,2020,R,111,6.2,49,Action,Comedy,Crime,NA

The Best of Me,2014,PG-13,118,6.7,29,Drama,Romance,NA,26.76

Invincible,2006,PG,105,7.1,63,Biography,Drama,Sport,57.79

Agora,2009,R,127,7.2,55,Adventure,Biography,Drama,0.62

Mysterious Skin,2004,21+,105,7.6,73,Drama,NA,NA,0.70

Land of the Lost,2009,PG-13,102,5.3,32,Action,Adventure,Comedy,49.44

Anomalisa,2015,R,90,7.3,88,Animation,Comedy,Drama,3.76

Street Fighter,1994,PG-13,102,4.0,NA,Action,Adventure,Comedy,33.42

Kiss the Girls,1997,R,115,6.6,46,Crime,Drama,Mystery,60.53

The Gambler,III 2014,R,111,6.0,55,Crime,Drama,Thriller,33.63

Beethoven,1992,NA,87,5.7,NA,Comedy,Drama,Family,57.11

Hummingbird,I 2013,R,100,6.2,43,Action,Crime,Drama,0.03

Scary Movie 5,2013,PG-13,88,3.5,11,Comedy,Horror,NA,32.02

Child 44,2015,R,137,6.5,41,Crime,Drama,History,1.21

Hunger,2008,NA,96,7.6,82,Biography,Drama,NA,0.15

Run Fatboy Run,2007,PG-13,100,6.6,48,Comedy,Romance,Sport,6.00

Manhunter,1986,NA,120,7.2,75,Crime,Horror,Mystery,8.62

Little Shop of Horrors,1986,PG-13,94,7.0,81,Comedy,Horror,Musical,38.75

Crawl,I 2019,17+,87,6.2,60,Action,Horror,Thriller,39.01

Badlands,1973,NA,94,7.8,93,Action,Crime,Drama,NA

Gulliver's Travels,2010,PG,85,4.9,33,Adventure,Comedy,Family,42.78

A Very Harold & Kumar 3D Christmas,2011,R,90,6.3,61,Adventure,Comedy,NA,35.03

The Remains of the Day,1993,PG,134,7.8,84,Drama,Romance,NA,22.95

Bandits,2001,PG-13,123,6.5,60,Comedy,Crime,Drama,41.58

Triple 9,2016,R,115,6.3,52,Action,Crime,Thriller,12.63

Windtalkers,2002,R,134,6.1,51,Action,Drama,War,40.91

The Eagle,2011,PG-13,114,6.2,55,Action,Adventure,Drama,19.49

Being There,1979,NA,130,8.0,83,Comedy,Drama,NA,30.18

The Outlaw Josey Wales,1976,NA,135,7.8,69,Western,NA,NA,31.80

Hackers,1995,PG-13,105,6.3,46,Comedy,Crime,Drama,7.56

Two Night Stand,2014,R,86,6.4,45,Comedy,Romance,NA,0.02

Fighting with My Family,2019,13+,108,7.1,68,Biography,Comedy,Drama,22.96

House of Sand and Fog,2003,R,126,7.5,71,Crime,Drama,NA,13.01

Stripes,1981,R,106,6.9,68,Comedy,War,NA,85.30

Frankenstein,1931,NA,70,7.8,91,Drama,Horror,Sci-Fi,NA

Dumbo,2019,SU,112,6.3,51,Adventure,Family,Fantasy,114.77

Into the Storm,2014,PG-13,89,5.8,44,Action,Adventure,Drama,47.60

Arsenic and Old Lace,1944,NA,118,8.0,NA,Comedy,Crime,Thriller,NA

Spirit: Stallion of the Cimarron,2002,G,83,7.2,52,Animation,Adventure,Drama,73.28

A Dog's Purpose,2017,PG,100,7.2,43,Adventure,Comedy,Drama,64.51

The Night Before,II 2015,R,101,6.4,58,Comedy,Fantasy,NA,43.04

Junior,1994,PG-13,109,4.6,59,Comedy,Romance,Sci-Fi,36.76

Domino,2005,D,127,5.9,36,Action,Biography,Crime,10.17

The Kissing Booth,2018,NA,105,6.0,NA,Comedy,Romance,NA,NA

La cit� des enfants perdus,1995,R,112,7.5,73,Fantasy,Sci-Fi,NA,1.51

Zoolander 2,2016,PG-13,101,4.7,34,Action,Adventure,Comedy,28.85

Quiz Show,1994,PG-13,133,7.5,92,Biography,Drama,History,24.82

Funny Games,1997,NA,108,7.6,69,Crime,Drama,Thriller,NA

To Catch a Thief,1955,PG,106,7.4,NA,Mystery,Romance,Thriller,8.75

Bacheha-Ye aseman,1997,PG,89,8.3,77,Drama,Family,Sport,0.93

Stigmata,1999,R,103,6.2,28,Horror,NA,NA,50.05

Dangerous Liaisons,1988,NA,119,7.6,74,Drama,Romance,NA,34.70

Dirty Rotten Scoundrels,1988,NA,110,7.4,68,Comedy,Crime,NA,42.04
