Tittle,Year Release,MPAA Rating,Duration(minutes),IMDB Score,Metascore,Genre 1,Genre 2,Genre 3,Gross($M)
Star Wars: Episode VII - The Force Awakens,2015,SU,138,7.9,80,Action,Adventure,Sci-Fi,936.66

Good Will Hunting,1997,R,126,8.3,70,Drama,Romance,NA,138.43

Gone Girl,2014,R,149,8.1,79,Drama,Mystery,Thriller,167.77

No Country for Old Men,2007,R,122,8.1,91,Crime,Drama,Thriller,74.28

A Beautiful Mind,2001,PG-13,135,8.2,72,Biography,Drama,NA,170.74

The Hunger Games,2012,PG-13,142,7.2,68,Action,Adventure,Sci-Fi,408.01

Avengers: Infinity War,2018,13+,149,8.4,68,Action,Adventure,Sci-Fi,678.82

Catch Me If You Can,2002,PG-13,141,8.1,75,Biography,Crime,Drama,164.62

"Monsters, Inc.",2001,G,92,8.0,79,Animation,Adventure,Comedy,289.92

The Terminator,1984,NA,107,8.0,84,Action,Sci-Fi,NA,38.40

Slumdog Millionaire,2008,R,120,8.0,84,Drama,Romance,NA,141.32

Avengers: Endgame,2019,13+,181,8.4,78,Action,Adventure,Drama,858.37

Alien,1979,R,117,8.4,89,Horror,Sci-Fi,NA,78.90

Die Hard,1988,NA,132,8.2,72,Action,Thriller,NA,83.01

Snatch,2000,R,104,8.3,55,Comedy,Crime,NA,30.33

Gravity,2013,PG-13,91,7.7,96,Drama,Sci-Fi,Thriller,274.09

Requiem for a Dream,2000,R,102,8.3,68,Drama,NA,NA,3.64

Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130,8.1,85,Adventure,Drama,Fantasy,381.01

The Martian,2015,PG-13,144,8.0,80,Adventure,Drama,Sci-Fi,228.43

The Hobbit: An Unexpected Journey,2012,PG-13,169,7.8,58,Adventure,Fantasy,NA,303.00

A Clockwork Orange,1971,NA,136,8.3,77,Crime,Drama,Sci-Fi,6.21

Toy Story 3,2010,SU,103,8.3,92,Animation,Adventure,Comedy,415.00

The Intouchables,2011,R,112,8.5,57,Biography,Comedy,Drama,13.18

Iron Man Three,2013,13+,130,7.2,62,Action,Adventure,Sci-Fi,409.01

Thor,2011,PG-13,115,7.0,57,Action,Adventure,Fantasy,181.03

Sin City,2005,R,124,8.0,74,Crime,Thriller,NA,74.10

Donnie Darko,2001,R,113,8.0,88,Drama,Mystery,Sci-Fi,1.48

Avengers: Age of Ultron,2015,13+,141,7.3,66,Action,Adventure,Sci-Fi,459.01

Scarface,1983,NA,170,8.3,65,Crime,Drama,NA,45.60

Captain America: The First Avenger,2011,PG-13,124,6.9,66,Action,Adventure,Sci-Fi,176.65

Captain America: The Winter Soldier,2014,PG-13,136,7.7,70,Action,Adventure,Sci-Fi,259.77

300,2006,R,117,7.6,52,Action,Drama,NA,210.61

The Big Lebowski,1998,R,117,8.1,71,Comedy,Crime,Sport,17.50

Star Wars: Episode I - The Phantom Menace,1999,PG,136,6.5,51,Action,Adventure,Fantasy,474.54

The Pianist,2002,R,150,8.5,85,Biography,Drama,Music,32.57

Taxi Driver,1976,NA,114,8.3,94,Crime,Drama,NA,28.26

Iron Man 2,2010,PG-13,124,7.0,57,Action,Adventure,Sci-Fi,312.43

Gran Torino,2008,R,116,8.1,72,Drama,NA,NA,148.10

The Hangover,2009,R,100,7.7,73,Comedy,NA,NA,277.32

Whiplash,2014,R,106,8.5,88,Drama,Music,NA,13.09

Star Wars: Episode III - Revenge of the Sith,2005,D,140,7.5,68,Action,Adventure,Fantasy,380.26

The Grand Budapest Hotel,2014,R,99,8.1,88,Adventure,Comedy,Crime,59.10

Am�lie,2001,R,122,8.3,69,Comedy,Romance,NA,33.23

The Revenant,2015,R,156,8.0,76,Action,Adventure,Drama,183.64

Black Swan,2010,R,108,8.0,79,Drama,Thriller,NA,106.95

Cidade de Deus,2002,R,130,8.6,79,Crime,Drama,NA,7.56

Blade Runner,1982,R,117,8.1,84,Action,Sci-Fi,Thriller,32.87

Indiana Jones and the Last Crusade,1989,PG-13,127,8.2,65,Action,Adventure,NA,197.17

Man of Steel,2013,PG-13,143,7.0,55,Action,Adventure,Sci-Fi,291.05

Spider-Man,2002,PG-13,121,7.3,73,Action,Adventure,Sci-Fi,403.71

"Il buono, il brutto, il cattivo",1966,NA,161,8.8,90,Western,NA,NA,6.10

I Am Legend,2007,PG-13,101,7.2,65,Action,Adventure,Drama,256.39

12 Angry Men,1957,NA,96,9.0,96,Crime,Drama,NA,4.36

